Наименование;Форма выпуска;Количество в упаковке;Длина (мм);Ширина (мм);Высота (мм);Масса брутто (г);Примечание
Адреналин-СОЛОфарм р-р д/ин. 1 мг/мл 1 мл N5;Ампулы 1 мл;5;100;60;20;30;Пачка картонная
Адреналин-СОЛОфарм р-р д/ин. 1 мг/мл амп. 1 мл пач. картон.;Ампулы 1 мл;5;100;60;20;30;Пачка картонная
Адреналин р-р д/ин. 1 мг/мл с нож. амп. 1 мл N5 МЭЗ;Ампулы 1 мл;5;100;60;20;30;Пачка картонная
Азитромицин капс. 500 мг бл. 3 пач. картон. 1;Капсулы блистер;3;110;65;22;25;Пачка картонная
Аминазин р-р для в/в и в/м введ. 25 мг/мл 2 мл N10;Ампулы 2 мл;10;120;85;35;70;Пачка картонная
Амиодарон конц. д/р-ра для в/в введ. 50 мг/мл амп. 3 мл N10;Ампулы 3 мл;10;120;90;38;80;Пачка картонная
Аммиак р-р д/наружн. прим. и ингал. 10% фл. 40 мл;Флакон 40 мл;1;75;35;35;60;Флакон стекло, не переворачивать
Анальгин р-р для в/в и в/м введ. 500 мг/мл амп. 2 мл пач. картон. 10;Ампулы 2 мл;10;120;85;35;70;Пачка картонная
Анальгин р-р для в/в и в/м введ. 500 мг/мл амп. 2 мл пач. картон. 10 Дальхим;Ампулы 2 мл;10;120;85;35;70;Пачка картонная
Аскорбиновая кислота р-р для в/в и в/м введ. 50 мг/мл амп. 2 мл Дальхимфарм;Ампулы 2 мл;10;120;85;35;70;Пачка картонная
Аспаркам-L р-р для в/в введ. 45.2 мг/мл+40 мг/мл амп. 10 мл пач. картон.;Ампулы 10 мл;10;145;125;50;160;Пачка картонная
Атропин р-р д/ин. 1 мг/мл амп. 1 мл кор. 10;Ампулы 1 мл;10;110;60;32;55;Пачка картонная
Ацесоль р-р д/инф. бан. 200 мл ящ. картон 28;Флакон 200 мл;1;140;65;65;360;Флакон стекло, не переворачивать
Ацетилсалициловая кислота-УБФ табл. 500 мг бл. 10 пач. картон. 2;Таблетки блистер;20;105;55;20;25;Пачка картонная
Ацетилсалициловая кислота табл. 500 мг бл. 10 пач. картон. 2 Озон;Таблетки блистер;20;105;55;20;25;Пачка картонная
Беродуал Н аэроз. д/ингал. доз. 20 мкг+50 мкг/доза балл. 200 пач. картон. 1;Аэрозоль 10 мл;200 доз;120;50;50;100;Баллон под давлением, не переворачивать
Бинты н/ст 7х14;Бинт;1;140;50;30;35;Индивидуальная упаковка
Бисопролол табл. п.п.о. 10 мг бл. 25 пач. картон. 2;Таблетки блистер;50;130;90;25;50;Пачка картонная
Бифрадуал р-р д/ингал. 0.25 мг/мл+0.5 мг/мл фл. 20 мл пач. картон. 1;Флакон 20 мл;1;90;35;35;55;Флакон стекло, не переворачивать
Бриллиантовый зеленый р-р д/наружн. прим. 1% фл. 10 мл;Флакон 10 мл;1;51;29;29;20;Флакон стекло, не переворачивать
Буденит Стери-Неб сусп. д/ингал. доз. 0.5 мг/мл амп. 2 мл пач. картон. 20;Ампулы полимерные 2 мл;20;130;100;45;90;Пачка картонная
Валсартан табл. п.п.о. 80 мг бл. 30 пач. картон. 1;Таблетки блистер;30;125;80;22;45;Пачка картонная
Верапамил р-р для в/в введ. 2.5 мг/мл амп. 2 мл пач. картон. 10;Ампулы 2 мл;10;120;85;35;70;Пачка картонная
Вода для инъекций растворит. д/приг. лек. форм д/ин. амп. 2 мл пач. картон. 10;Ампулы 2 мл;10;120;85;35;70;Пачка картонная
Галоперидол Велфарм р-р для в/в и в/м введ. 5 мг/мл амп. 1 мл пач. картон. 10;Ампулы 1 мл;10;110;60;32;55;Пачка картонная
Гепарин р-р для в/в и п/к введ. 5000 МЕ/мл 5 мл N5 Белмедпрепараты;Флаконы 5 мл;5;120;70;45;85;Пачка картонная
Гепарин р-р для в/в и п/к введ. 5000 МЕ/мл фл. 5 мл пач. картон. 5 Армав.ф-ка;Флаконы 5 мл;5;120;70;45;85;Пачка картонная
Гидроксиэтилкрахмал 130/0.4 р-р д/инф. 6% бан. 500 мл пач. картон. 1;Флакон 500 мл;1;185;80;80;780;Флакон стекло/ПП, не переворачивать
Глюкоза-Э р-р д/инф. 5% бан. 200 мл пач. картон. 28 Эском;Флакон 200 мл;1;140;65;65;360;Флакон стекло/ПП, не переворачивать
Глюкоза р-р д/инф. 10% фл. 200 мл кор. 40;Флакон 200 мл;1;140;65;65;360;Флакон стекло, не переворачивать
Глюкоза р-р для в/в введ. 40% амп. 10 мл пач. картон. 10;Ампулы 10 мл;10;145;125;50;160;Пачка картонная
Глюкоза р-р для в/в введ. 400 мг/мл амп. 10 мл пач. картон. 10 Фармасинтез;Ампулы 10 мл;10;145;125;50;160;Пачка картонная
Дексаметазон р-р д/ин. 4 мг/мл амп. 1 мл пач. картон. 25;Ампулы 1 мл;25;125;80;55;130;Пачка картонная
Дексаметазон р-р д/ин. 4 мг/мл амп. 2 мл пач. картон. 25 Эллара;Ампулы 2 мл;25;135;95;60;170;Пачка картонная
Дексаметазон р-р д/ин. 4 мг/мл с нож. амп. 1 мл N25 Эллара;Ампулы 1 мл;25;125;80;55;130;Пачка картонная
Димедрол р-р 10 мг/мл амп. 1 мл картон. пач. 10 Борис;Ампулы 1 мл;10;110;60;32;55;Пачка картонная
Димедрол р-р для в/в и в/м введ. 10 мг/мл амп. 1 мл пач. картон. 10;Ампулы 1 мл;10;110;60;32;55;Пачка картонная
Допамин конц. д/р-ра д/инф. 40 мг/мл амп. 5 мл пач. картон. 10;Ампулы 5 мл;10;130;105;42;100;Пачка картонная
Дроперидол р-р д/ин. 2.5 мг/мл 5 мл N5 МЭЗ;Ампулы 5 мл;5;120;100;25;60;Пачка картонная
Дроперидол р-р д/ин. 2.5 мг/мл амп. 2 мл бл. 5;Ампулы 2 мл;5;115;85;20;40;Пачка картонная
Дротаверин-Эллара р-р для в/в и в/м введ. 20 мг/мл амп. 2 мл пач. картон. 10;Ампулы 2 мл;10;120;85;35;70;Пачка картонная
Дротаверин р-р для в/в и в/м введ. 20 мг/мл амп. 2 мл пач. картон. 10;Ампулы 2 мл;10;120;85;35;70;Пачка картонная
Калия хлорид конц. д/р-ра д/инф. 40 мг/мл амп. 10 мл пач. картон. 10;Ампулы 10 мл;10;145;125;50;160;Пачка картонная
Кальция глюконат р-р для в/в и в/м введ. 100 мг/мл 10 мл N10 Армавир.;Ампулы 10 мл;10;145;125;50;160;Пачка картонная
Каптоприл табл. 25 мг бл. 10 пач. картон. 4 Борисов.;Таблетки блистер;40;115;70;30;45;Пачка картонная
Катетер в/в Бабочка;Катетер;1;100;80;5;3;Индивидуальный блистер
Катетер в/в с доп.портом;Катетер;1;180;90;10;10;Индивидуальный блистер
Катетер урологический Нелатона;Катетер;1;350;50;10;20;Индивидуальный блистер
Кетопрофен р-р для в/в и в/м введ. 50 мг/мл амп. 2 мл пач. картон. 10;Ампулы 2 мл;10;120;85;35;70;Пачка картонная
Кеторолак Велфарм р-р для в/в и в/м введ. 30 мг/мл амп. 1 мл 10;Ампулы 1 мл;10;110;60;32;55;Пачка картонная
Кеторолак р-р для в/в и в/м введ. 30 мг/мл амп. 2 мл кор. 10;Ампулы 2 мл;10;120;85;35;70;Пачка картонная
Кеторолак р-р для в/в и в/м введ. 30 мг/мл амп. 2 мл пач. картон. 10;Ампулы 2 мл;10;120;85;35;70;Пачка картонная
Клопидогрел табл. п.п.о. 75 мг бан. 28 пач. картон. 1 Озон;Таблетки банка;28;90;55;55;45;Банка полимерная
Клопидогрел табл. п.п.о. 75 мг бл. 7 пач. картон. 4 Розлекс;Таблетки блистер;28;115;70;28;40;Пачка картонная
Клопидогрел табл. п.п.о. 75 мг бл. 7 пач. картон. 4 Скан Биотек;Таблетки блистер;28;115;70;28;40;Пачка картонная
Лейкопластырь 2х500;Катушка;1;50;50;20;25;Индивидуальная упаковка
Лейкопластырь бактерицидный;Пластырь;1;80;25;3;2;Индивидуальная упаковка
Лейкопластырь медицинский для фиксации катетеров;Пластырь;1;100;70;5;5;Индивидуальная упаковка
Лента диаграммная из термобумаги;Рулон;1;60;60;30;50;Индивидуальная упаковка
Лидокаин-Виал спрей д/местн. и наружн. прим. 10% фл. 38 г пач. картон. 1;Спрей 38 г;650 доз;150;40;40;100;Флакон с распылителем, не переворачивать
Лидокаин р-р д/ин. 100 мг/мл 2 мл N10 Органика;Ампулы 2 мл;10;120;85;35;70;Пачка картонная
Лидокаин р-р д/ин. 100 мг/мл амп. 2 мл пач. картон. 10 Органика;Ампулы 2 мл;10;120;85;35;70;Пачка картонная
Лидокаин р-р д/ин. 20 мг/мл амп. 2 мл кор. 10;Ампулы 2 мл;10;120;85;35;70;Пачка картонная
