Организация;;;;;;Начальный остаток;Приход;Расход;Конечный остаток
Склад;;;;;;Количество;Количество;Количество;Количество
Источник финансирования;;;;;;;;;
Номенклатура;;;;;Ед. изм.;;;;
Серия номенклатуры, Партия;;;;;;;;;
Регистратор;;;;;;;;;
АРЦСМП И МК ГБУЗ РА;;;;;;782 105,000;1 561 537,000;1 507 971,000;835 671,000
Склад аптеки;;;;;;782 105,000;1 561 537,000;1 507 971,000;835 671,000
Госзадание (4);;;;;;18 190,000;;18 160,000;30,000
Анаприлин табл. 10 мг, бл. 10, пач. картон. 5;;;;;шт;18150,00;;18 150,000;
431120 до 15.12.24, <партии не учитываются>;;;;;;14 250,000;;14 250,000;
Отпуск в отделение 0000-000005 от 09.01.2024 11:47:30;;;;;;14 250,000;;500,000;13 750,000
Отпуск в отделение 0000-000052 от 12.02.2024 10:08:46;;;;;;13 750,000;;500,000;13 250,000
Отпуск в отделение 0000-000060 от 19.02.2024 11:14:10;;;;;;13 250,000;;500,000;12 750,000
Отпуск в отделение 0000-000076 от 01.03.2024 10:38:57;;;;;;12 750,000;;500,000;12 250,000
Отпуск в отделение 0000-000084 от 06.03.2024 9:46:40;;;;;;12 250,000;;500,000;11 750,000
Отпуск в отделение 0000-000108 от 21.03.2024 8:15:48;;;;;;11 750,000;;500,000;11 250,000
Отпуск в отделение 0000-000116 от 25.03.2024 11:39:14;;;;;;11 250,000;;300,000;10 950,000
Отпуск в отделение 0000-000119 от 27.03.2024 10:43:22;;;;;;10 950,000;;500,000;10 450,000
Отпуск в отделение 0000-000121 от 01.04.2024 10:10:51;;;;;;10 450,000;;500,000;9 950,000
Отпуск в отделение 0000-000127 от 02.04.2024 15:48:04;;;;;;9 950,000;;300,000;9 650,000
Отпуск в отделение 0000-000150 от 12.04.2024 9:48:40;;;;;;9 650,000;;500,000;9 150,000
Отпуск в отделение 0000-000183 от 06.05.2024 9:17:42;;;;;;9 150,000;;250,000;8 900,000
Отпуск в отделение 0000-000184 от 06.05.2024 10:38:18;;;;;;8 900,000;;500,000;8 400,000
Отпуск в отделение 0000-000202 от 20.05.2024 9:36:32;;;;;;8 400,000;;300,000;8 100,000
