Наименование;Вероятная фасовка (ед. выдачи)
Пинцет одноразовый стерильный;100
Бинты н/ст 7*14;50
Катетер в/в Бабочка;100
Катетер в/в с доп.портом;50
Катетер урологический Нелатона;50
Лейкопластырь 2*500;12
Лейкопластырь бактерицидный;100
Лейкопластырь медицинский для фиксации катетеров;50
Маска ларингеальная одноразовая;10
Маска медицинская одноразовая;50
Мундштук для алкотектора одноразовый;50
Перчатки н/ст латексные смотровые;50 (пар)
Пинцет анатомический;100
Простынь хирургическая нестерильная;20
Салфетки спиртовые 110*125 одноразовые;100
Салфетки стерильные 16*14;10
Системы для инфузий одноразовые;25
Скальпель одноразовый;10
Скарификатор одноразовый;200
Тест-полоски к гюкометрам Diacont 04/24;50
Шпатель одноразовый;100
Шприц одноразовый 10 мл;100
Шприц одноразовый 2 мл;100
Шприц одноразовый 20 мл;50
Шприц одноразовый 5 мл;100
