Наименование	Высота (мм)	Длина (мм)	Ширина (мм)	Масса (г)	Примечание
Анаприлин табл. 10 мг, бл. 10, пач. картон. 5	110	65	22	25	Оценка (аналог: Азитромицин)
Ипратерол, р-р д/ингал. 0.25 мг/мл + 0.5 мг/мл, фл. 20 мл, неро 2022	65	30	30	45	Оценка (стандартный флакон 20мл)
Адреналин-СОЛОфарм, р-р д/ин. 1 мг/мл, 1 мл, N 5 Гротекс ООО	100	60	20	30	Данные из файла
Адреналин-СОЛОфарм, р-р д/ин. 1 мг/мл, амп. 1 мл, пач. картон. 01.23	100	60	20	30	Данные из файла
Адреналин, р-р д/ин. 1 мг/мл, с нож. амп., 1 мл, N 5 Московский эндокринный завод ФГУП	100	60	20	30	Данные из файла
Азитромицин, капс. 500 мг, бл. 3, пач. картон. 1	110	65	22	25	Данные из файла
Аминазин, р-р для в/в и в/м введ. 25 мг/мл, 2 мл, N 10 Новосибхимфарм АО	120	85	35	70	Данные из файла
Амиодарон, конц. д/р-ра для в/в введ. 50 мг/мл, амп., 3 мл, N 10 Борис.06.24	130	90	30	75	Данные из файла
Аммиак, р-р д/наружн. прим. и ингал. 10 %, фл. 40 мл САМАРАМЕДПРОМ	80	40	40	85	Оценка (стандартный флакон 40мл)
Анальгин, р-р для в/в и в/м введ. 500 мг/мл, амп. 2 мл, пач. картон. 10 Арм.Биоф.03.25	120	80	25	60	Оценка (стандарт ампулы N10)
Анальгин, р-р для в/в и в/м введ. 500 мг/мл, амп. 2 мл, пач. картон. 10 Дальхим 02.24	120	80	25	60	Оценка (стандарт ампулы N10)
Аскорбиновая кислота, р-р для в/в и в/м введ. 50 мг/мл, амп. 2 мл, Дальхимфарм 01.23	120	80	25	60	Оценка (стандарт ампулы N10)
Аспаркам-L, р-р для в/в введ. 45.2 мг/мл+40 мг/мл, амп. 10 мл, пач. картон. 04.2025	170	110	45	150	Оценка (стандарт ампулы 10мл N10)
Атропин, р-р д/ин. 1 мг/мл, амп. 1 мл, кор. 10 склад 11.23	110	70	20	40	Оценка (стандарт ампулы N10)
Ацесоль, р-р д/инф., бан. 200 мл, ящ. картон 28 12.23	140	70	70	350	Оценка (стандарт бутылка 200мл)
Ацетилсалициловая кислота-УБФ, табл. 500 мг, бл. 10, пач. картон. 2 Уралбиофарм	110	65	22	25	Оценка (стандарт пачка таблеток)
Ацетилсалициловая кислота, табл. 500 мг, бл. 10, пач. картон. 2 Озон 04.24	110	65	22	25	Оценка (стандарт пачка таблеток)
Беродуал Н, аэроз. д/ингал. доз. 20 мкг + 50 мкг/доза, балл. 200, пач. картон. 1 10.2024	100	40	40	60	Оценка (стандарт аэрозоль)
Бинты н/ст 7*14Бисопролол, табл. п.п.о. 10 мг, бл. 25, пач. картон. 2	110	65	25	30	Оценка (по упаковке таблеток)
Бифрадуал, р-р д/ингал. 0.25 мг/мл + 0.5 мг/мл, фл. 20 мл, пач. картон. 1	65	30	30	45	Оценка (стандарт флакон 20мл)
Бриллиантовый зеленый, р-р д/наружн. прим. 1 %, фл. 10 мл	50	25	25	30	Оценка (флакон 10мл)
Буденит Стери-Неб, сусп. д/ингал. доз. 0.5 мг/мл, амп. 2 мл, пач. картон. 20 04.23	130	80	40	100	Оценка (пачка небулы N20)
Валсартан, табл. п.п.о. 80 мг, бл. 30, пач. картон. 1 10.2024	110	65	22	30	Оценка (стандарт таблетки)
Верапамил, р-р для в/в введ. 2.5 мг/мл, амп. 2 мл, пач. картон. 10 12.23	120	80	25	60	Оценка (стандарт ампулы N10)
Вода для инъекций, растворит. д/приг. лек. форм д/ин., амп. 2 мл, пач. картон. 10	120	80	25	60	Оценка (стандарт ампулы N10)
Галоперидол Велфарм, р-р для в/в и в/м введ. 5 мг/мл, амп. 1 мл, пач. картон. 10 10.2024	110	70	20	40	Оценка (стандарт ампулы N10)
Гепарин, р-р для в/в и п/к введ. 5 000 МЕ/мл, 5 мл, N 5 Белмедпрепараты РУП 06.24г.	110	60	25	50	Оценка (стандарт ампулы 5мл N5)
Гепарин, р-р для в/в и п/к введ. 5000 МЕ/мл, фл. 5 мл, пач. картон. 5 2022 Армав.ф-ка	50	22	22	20	Оценка (флакон 5мл)
Гидроксиэтилкрахмал 130/0.4, р-р д/инф. 6 %, бан. 500 мл, пач. картон. 1 02.25	180	80	80	850	Оценка (бутылка 500мл)
Глюкоза-Э, р-р д/инф. 5 %, бан. 200 мл, пач. картон. 28 Эском 05.24	140	70	70	350	Оценка (бутылка 200мл)
Глюкоза, р-р д/инф. 10 %, фл. 200 мл, кор. 40 склад 24	140	70	70	350	Оценка (бутылка 200мл)
