\xEF\xBB\xBFКатегория;Параметр;Min;Max;Статус;Источник
Габариты коробок;Длина коробки (мм);35;140;Подтверждено;Старое ТЗ (блоки A, C)
Габариты коробок;Ширина коробки (мм);60;220;Подтверждено;Старое ТЗ (блоки A, C)
Габариты коробок;Высота коробки (мм);10;50;Подтверждено;Старое ТЗ (блоки A, C)
Габариты коробок;Вес коробки (г);—;—;Требует уточнения;—
Габариты бутылок;Диаметр бутылки (мм);—;—;Требует уточнения;—
Габариты бутылок;Высота бутылки (мм);—;—;Требует уточнения;—
Габариты бутылок;Диаметр горлышка внешний (мм);—;—;Требует уточнения;—
Габариты бутылок;Диаметр горлышка внутренний (мм);—;—;Требует уточнения;—
Габариты бутылок;Высота горлышка (мм);—;—;Требует уточнения;—
Габариты бутылок;Вес бутылки (г);—;—;Требует уточнения;—
Производительность;Ёмкость модуля (ед.);—;—;Требует уточнения;—
Производительность;Выдача (ед./сутки);—;—;Требует уточнения;—
Производительность;Приёмка (ед./час);—;—;Требует уточнения;—
Производительность;Время формирования заказа (мин);—;—;Требует уточнения;—
Производительность;Количество SKU;—;—;Требует уточнения;—
Манипулятор;Точность позиционирования (мм);—;±2;Подтверждено;Ответы заказчика
Манипулятор;Скорость продольного перемещения (мм/с);—;—;Эскизный проект;Расчёт
Манипулятор;Скорость поперечного перемещения (мм/с);—;—;Эскизный проект;Расчёт
Манипулятор;Скорость вертикального перемещения (мм/с);—;—;Эскизный проект;Расчёт
Манипулятор;Время цикла pick (сек);—;—;Эскизный проект;Расчёт
Манипулятор;Грузоподъёмность для коробок (г);—;—;Требует уточнения;—
Манипулятор;Грузоподъёмность для бутылок (г);—;—;Требует уточнения;—
Модуль и помещение;Высота модуля (мм);—;2500;Подтверждено;Ответы заказчика
Модуль и помещение;Площадь помещения (м²);16;—;Подтверждено;Ответы заказчика (4×4 м)
Модуль и помещение;Высота потолка (мм);—;4000;Подтверждено;Ответы заказчика
Модуль и помещение;Температура в помещении (°C);5;35;Подтверждено;Старое ТЗ
Модуль и помещение;Влажность в помещении (%);—;75;Подтверждено;Старое ТЗ
Надёжность;Время восстановления после сбоя (час);—;—;Требует уточнения;—
Надёжность;Время перехода в ручной режим (мин);—;15;Подтверждено;Ответы заказчика
Надёжность;MTBF (часы);—;—;Эскизный проект;—
Надёжность;Время graceful shutdown (сек);—;—;Эскизный проект;—
Электропитание;Напряжение питания (В);—;—;Требует уточнения;—
Электропитание;Потребляемая мощность (кВт);—;—;Эскизный проект;—
Электропитание;Время автономной работы от ИБП (мин);—;—;Эскизный проект;—
