\xEF\xBB\xBF№;Раздел;Вопрос;Зачем нужно;Приоритет
1;Единицы хранения;Типовой ассортимент склада (перечень SKU с габаритами, весом, типом тары, условиями хранения)?;Критично для эскизного проекта. Будет перегруппирован в таблицу с количеством предметов по размерам/весу для расчёта ячеек и производительности;Критичный
2;Единицы хранения;Диапазон веса коробок (мин/макс)?;Выбор захвата и приводов;Высокий
3;Единицы хранения;Диапазон габаритов бутылок (диаметр, высота)?;Проектирование ячеек и захвата;Высокий
4;Единицы хранения;Габариты горлышек бутылок (внешний/внутренний диаметр, высота)?;Проектирование захвата для бутылок;Высокий
5;Единицы хранения;Чертежи бутылок (или ссылки на стандартные типоразмеры)?;Требуются на входе в эскизный проект;Критичный
6;Единицы хранения;Диапазон веса бутылок (мин/макс)?;Выбор захвата и приводов;Высокий
7;Единицы хранения;Распределение номенклатуры: % коробок / % пластиковых бутылок / % стеклянных?;Приоритеты проектирования;Средний
8;Ёмкость и производительность;Требуемая ёмкость модуля (единиц)?;Габариты модуля, количество ячеек;Высокий
9;Ёмкость и производительность;Требуемая суточная производительность на выдачу?;Скорость манипулятора, количество позиций;Высокий
10;Ёмкость и производительность;Требуемая скорость приёмки (ед./час)?;Проектирование зоны загрузки;Средний
11;Ёмкость и производительность;Максимально допустимое время формирования заказа?;Алгоритмы оптимизации;Средний
12;Ёмкость и производительность;Количество SKU (уникальных наименований)?;Система адресации;Средний
13;Ёмкость и производительность;Количество подстанций (точек отгрузки)?;Интеграция с логистикой;Средний
14;Условия хранения;Требуется ли защита от света для части номенклатуры?;Конструкция ячеек;Низкий
15;Условия хранения;Требуемое количество точек измерения температуры/влажности?;Размещение датчиков;Низкий
16;Условия хранения;Требуемая точность измерения температуры и влажности?;Выбор датчиков;Низкий
17;Надёжность и безопасность;Максимально допустимое время восстановления после сбоя?;Требования к надёжности;Средний
18;Надёжность и безопасность;Требования к защите персонала (ограждение, датчики, и т.д.)?;Система безопасности;Средний
19;Надёжность и безопасность;Требуемое напряжение питания (220В одно/трёхфазное)?;Система электроснабжения;Средний
20;Персонал;Количество и квалификация персонала для эксплуатации?;Документация, обучение;Низкий
