\xEF\xBB\xBFРаздел;Подраздел;ID;Требование;Старое ТЗ;Новое значение;Статус;Чем обеспечивается;Варианты для рассмотрения
1. Единицы хранения;1.1 Габариты и вес;1.1.1;Мин. габариты коробки;Блок C: 35×60×10 мм;35×60×10 мм;Подтверждено;Типоразмер ячеек блока C;
1. Единицы хранения;1.1 Габариты и вес;1.1.2;Макс. габариты коробки;Блок A: 140×220×50 мм;140×220×50 мм;Подтверждено;Типоразмер ячеек блока A;
1. Единицы хранения;1.1 Габариты и вес;1.1.3;Мин. вес коробки;Не указано;—;Требует уточнения;Захват манипулятора;
1. Единицы хранения;1.1 Габариты и вес;1.1.4;Макс. вес коробки;Не указано;—;Требует уточнения;Захват манипулятора, приводы;
1. Единицы хранения;1.1 Габариты и вес;1.1.5;Мин. габариты бутылки (диаметр × высота);Не указано;—;Требует уточнения;Типоразмер ячеек / захват;
1. Единицы хранения;1.1 Габариты и вес;1.1.6;Макс. габариты бутылки (диаметр × высота);Не указано;—;Требует уточнения;Типоразмер ячеек / захват;
1. Единицы хранения;1.1 Габариты и вес;1.1.7;Диаметр горлышка бутылки (внешний);Не указано;—;Требует уточнения;Захват манипулятора;
1. Единицы хранения;1.1 Габариты и вес;1.1.8;Диаметр горлышка бутылки (внутренний);Не указано;—;Требует уточнения;Захват манипулятора;
1. Единицы хранения;1.1 Габариты и вес;1.1.9;Высота горлышка бутылки;Не указано;—;Требует уточнения;Захват манипулятора;
1. Единицы хранения;1.1 Габариты и вес;1.1.10;Мин. вес бутылки;Не указано;—;Требует уточнения;Захват манипулятора;
1. Единицы хранения;1.1 Габариты и вес;1.1.11;Макс. вес бутылки;Не указано;—;Требует уточнения;Захват манипулятора, приводы;
1. Единицы хранения;1.1 Габариты и вес;1.1.12;Чертежи бутылок;Не указано;—;Требуются на входе в эскизный проект;Документация;
1. Единицы хранения;1.1 Габариты и вес;1.1.13;Типы тары;Только коробки;Коробки + пластиковые + стеклянные бутылки;Подтверждено;Захват манипулятора, ячейки хранения;
1. Единицы хранения;1.1 Габариты и вес;1.1.14;Распределение номенклатуры по типам тары (%);Не указано;—;Требует уточнения;Проектирование ячеек, приоритеты;
2. Ёмкость и производительность;2.1 Ёмкость;1.2.1;Ёмкость одного модуля (ед.);Не указано;—;Требует уточнения;Количество ячеек, габариты модуля;
2. Ёмкость и производительность;2.1 Ёмкость;1.2.2;Количество SKU;Не указано;—;Требует уточнения;Система адресации, WMS;
2. Ёмкость и производительность;2.2 Производительность;1.2.3;Суточная производительность на выдачу (ед./сутки);Не указано;—;Требует уточнения;Скорость манипулятора, количество позиций выгрузки;
2. Ёмкость и производительность;2.2 Производительность;1.2.4;Скорость приёмки (ед./час);Не указано;—;Требует уточнения;Зона загрузки, манипулятор;
2. Ёмкость и производительность;2.2 Производительность;1.2.5;Макс. время формирования заказа;Не указано;—;Требует уточнения;Алгоритмы оптимизации, скорость манипулятора;
2. Ёмкость и производительность;2.2 Производительность;1.2.6;Количество подстанций (точек отгрузки);Не указано;—;Требует уточнения;Зона выгрузки, интеграция с WMS;
2. Ёмкость и производительность;2.3 Режим работы;1.2.7;Режим работы;Подразумевается 24/7;24/7;Подтверждено;Надёжность компонентов, резервирование;
3. Габариты модуля и помещения;3.1 Модуль;1.3.1;Макс. высота модуля;Не указано;2500 мм;Подтверждено;Конструкция стеллажей;
3. Габариты модуля и помещения;3.1 Модуль;1.3.2;Габариты модуля в плане (Д×Ш);Не указано;Расчётный параметр;Эскизный проект;Рассчитывается из ёмкости и типоразмеров;
3. Габариты модуля и помещения;3.2 Помещение;1.3.3;Тип пола;Не указано;Бетон предпочтительно, альтернативы возможны;Подтверждено;Крепление конструкции;
3. Габариты модуля и помещения;3.2 Помещение;1.3.4;Электропитание;ГОСТ 32144-2013;—;Требует уточнения;Система электроснабжения;
3. Габариты модуля и помещения;3.2 Помещение;1.3.5;Температура в помещении;5–35°C;5–35°C;Подтверждено;Климат-контроль помещения;
3. Габариты модуля и помещения;3.2 Помещение;1.3.6;Влажность в помещении;До 75%;До 75%;Подтверждено;Климат-контроль помещения;
3. Габариты модуля и помещения;3.2 Помещение;1.3.7;Текущее помещение;Не указано;4×7 м, высота 4 м (вкл. зону персонала);Подтверждено;—;
3. Габариты модуля и помещения;3.2 Помещение;1.3.8;Мин. помещение;Не указано;4×4 м;Подтверждено;—;
4. Условия хранения;4.1 Температурный режим;1.4.1;Холодильный модуль 2–8°C;Упоминается как перспектива;Перспектива развития;Перспектива;Интегрированный холодильник;
4. Условия хранения;4.1 Температурный режим;1.4.2;Защита от света;Не указано;—;Требует уточнения;Конструкция ячеек / зон хранения;
4. Условия хранения;4.2 Мониторинг;1.4.3;Мониторинг температуры — точность;1°C;—;Требует уточнения;Датчики температуры;
4. Условия хранения;4.2 Мониторинг;1.4.4;Мониторинг влажности — точность;5%;—;Требует уточнения;Датчики влажности;
4. Условия хранения;4.2 Мониторинг;1.4.5;Количество точек измерения;≥2;—;Требует уточнения;Размещение датчиков;
4. Условия хранения;4.3 Контроль сроков;1.4.6;Контроль FEFO;На верхнем уровне (WMS);Реализация в данном ТЗ;Подтверждено;Алгоритмы нижнего уровня + WMS;
5. Манипулятор и приводы;5.1 Приводы;1.5.1;Тип приводов;Электрический с цифровым протоколом и обратной связью;Сервоприводы с цифровой шиной (предварительно EtherCAT);Требует тех. анализа;Сервоприводы + контроллер;EtherCAT; CANopen; Modbus RTU
5. Манипулятор и приводы;5.2 Скорости;1.5.2;Скорость продольного перемещения;Не указано;Расчётный параметр;Эскизный проект;Привод продольной оси;
5. Манипулятор и приводы;5.2 Скорости;1.5.3;Скорость поперечного перемещения;Не указано;Расчётный параметр;Эскизный проект;Привод поперечной оси;
5. Манипулятор и приводы;5.2 Скорости;1.5.4;Скорость вертикального перемещения;Не указано;Расчётный параметр;Эскизный проект;Привод вертикальной оси;
5. Манипулятор и приводы;5.3 Точность;1.5.5;Точность позиционирования;Точное позиционирование;±2 мм;Подтверждено;Приводы с энкодерами, система управления;
5. Манипулятор и приводы;5.4 Цикл;1.5.6;Время цикла захвата (pick);Не указано;Расчётный параметр;Эскизный проект;Рассчитывается из суточной производительности;
5. Манипулятор и приводы;5.5 Грузоподъёмность;1.5.7;Грузоподъёмность захвата для коробок;Не указано;—;Требует уточнения;Захват + приводы;
5. Манипулятор и приводы;5.5 Грузоподъёмность;1.5.8;Грузоподъёмность захвата для бутылок;Не указано;—;Требует уточнения;Захват + приводы;
5. Манипулятор и приводы;5.6 Захват;1.5.9;Тип захвата;Зажим-разжим (один тип);Определяется на этапе эскизного проекта;Эскизный проект;Захватное устройство;Один универсальный захват; Сменные захваты (коробки/бутылки); Два захвата одновременно; Универсальная рука с адаптивным захватом
6. Зона хранения;6.1 Ячейки;1.6.1;Типоразмеры ячеек;3 блока: A (90–140×120–220×15–50), B (60–100×80–150×12–40), C (35–70×60–120×10–35) мм;Пересмотр на этапе эскизного проекта;Эскизный проект;Конструкция пеналов;Блоки A/B/C из старого ТЗ; Единый универсальный типоразмер; Специальные ячейки для бутылок
6. Зона хранения;6.1 Ячейки;1.6.2;Хранение бутылок;Не предусмотрено;Предпочтительно в тех же ячейках;Эскизный проект;Конструкция ячеек;В тех же ячейках (горизонтально); В специальных держателях (вертикально); В отдельной зоне
6. Зона хранения;6.2 Размещение;1.6.3;Принцип размещения;Последовательное заполнение;Идеальный вариант: манипулятор берёт из контейнера, идентифицирует, получает адрес от WMS, размещает;Эскизный проект;Манипулятор + система идентификации + WMS;Последовательное заполнение; Полностью автоматическое размещение манипулятором
6. Зона хранения;6.3 Механизмы;1.6.4;Механизм выдвижения пеналов;Магнитная пластина + электромагнит;Оптимизация: универсальная рука для манипуляций с предметами, пеналами, дверями;Эскизный проект;Манипулятор / захват;Магнитная пластина + электромагнит; Универсальная рука манипулятора
6. Зона хранения;6.3 Механизмы;1.6.5;Фиксация упаковок в ячейках;Две пружины (продольная + поперечная), прижим к правому переднему углу;Требование: предмет должен располагаться так, чтобы манипулятор мог его извлечь. При робо-руке пружины могут не потребоваться;Эскизный проект;Конструкция ячеек / захват;Пружины; Без фиксации (при робо-руке)
6. Зона хранения;6.4 Доступ;1.6.6;Доступ оператора в зону хранения;Не описан;Да, для ручной комплектации при отказе системы;Подтверждено;Конструкция модуля, двери доступа;
6. Зона хранения;6.5 Идентификация;1.6.7;Идентификация пеналов;Не указано;Машинно- и человекочитаемая идентификация с отслеживанием позиции;Подтверждено;Маркировка пеналов (AprilTag / QR + номер), система машинного зрения;
7. Зоны загрузки и выгрузки;7.1 Загрузка;1.7.1;Режим загрузки;Автоматизированный с участием оператора;Определяется на этапе эскизного проекта;Эскизный проект;Зона загрузки + манипулятор;Автоматизированный с оператором; Полностью роботизированный; Оба режима
7. Зоны загрузки и выгрузки;7.1 Загрузка;1.7.2;Способ подачи на загрузку;Оператор вручную в пенал; авто: конвейер + разбор из кучи;Определяется на этапе эскизного/технического проекта;Эскизный проект;Зона загрузки;Идеальный: навалом в стандартной таре, манипулятор перемещает; Гибридный (рекомендуемый): рука на транспортёре → спец-контейнер → манипулятор перемещает по хранилищу и раскладывает; Оператор на конвейер
7. Зоны загрузки и выгрузки;7.2 Выгрузка;1.7.3;Выходной контейнер;Контейнеры на конвейере (тип не специфицирован);Унифицированный контейнер из доступных в продаже;Подтверждено;Закупка стандартных контейнеров;
7. Зоны загрузки и выгрузки;7.2 Выгрузка;1.7.4;Количество позиций выгрузки;Одна или несколько (зависит от проекта);Одна (несколько — перспектива для больших складов);Подтверждено;Конструкция зоны выгрузки;
7. Зоны загрузки и выгрузки;7.2 Выгрузка;1.7.5;Контроль заполнения контейнера;Расчётный (по габаритам и весу);Определяется на этапе эскизного проекта;Эскизный проект;Система контроля;Расчётный метод; Взвешивание; Машинное зрение
7. Зоны загрузки и выгрузки;7.3 Идентификация;1.7.6;Идентификация при загрузке/выгрузке;QR/DataMatrix (МДЛП), минимум 2 грани;Определяется на этапе эскизного проекта;Эскизный проект;Сканеры / камеры;Минимум 2 грани; Сканирование со всех сторон
8. Система управления;8.1 Архитектура;1.8.1;Архитектура системы управления;2 уровня (нижний — РТК, верхний — WMS);4 уровня: 1С → Система оптимизации и управления складом → ROS2 → Hardware Interface;Подтверждено;Программная архитектура;
8. Система управления;8.2 Аппаратура;1.8.2;Центральный модуль управления;ARM/x86, ≥1.5 ГГц, ≥2 ядра, ≥4 ГБ ОЗУ, ≥8 ГБ ПЗУ, Ethernet, UART, GPIO, I2C, SPI;Определяется на этапе эскизного проекта;Эскизный проект;Одноплатный компьютер / промышленный ПК;ARM SBC; x86 промышленный ПК
8. Система управления;8.3 Интерфейсы;1.8.3;Интерфейс связи с приводами;RS-485, цифровой протокол;Определяется на этапе эскизного проекта;Эскизный проект;Контроллер приводов;EtherCAT; CANopen; Modbus RTU
